,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
596,GP15,34.0,-7.50002,-151.99999,15291,43419,25,34-25,4.279124679,,0.291123662,22.7,28.6133,198.6,0.008,4.624,35.6584,35.655,0.98,0.36,3.37,0.07,1.0227850919607422,0.29775694141061804,1.0023293901215273,0.36820263310586715,3.4467857599077014,0.07159495643725196,22.689541728849235
597,GP15,34.0,-7.50002,-151.99999,15289,43419,65,34-65,6.0168941270000005,,0.120732191,61.8,28.4104,194.1,0.013000000000000001,4.637,35.6386,35.6347,0.98,0.37,3.46,0.07,1.0230048183784883,0.12350961312639197,1.0025447220109185,0.37851178280004066,3.5395966715895697,0.07161033728649419,22.745067564727265
598,GP15,34.0,-7.50002,-151.99999,15287,43419,80,34-80,16.72561563,,0.133036582,78.1,28.2688,191.0,0.013999999999999999,4.659,35.7242,35.724000000000004,0.88,0.36,2.78,0.08,1.0231857129490034,0.13612113000196854,0.900403427395123,0.3683468566616412,2.8444562819982293,0.08185485703592027,22.85747849775953
599,GP15,34.0,-7.50002,-151.99999,15285,43419,110,34-110,11.36599708,,0.167441379,107.7,27.561999999999998,178.6,0.011000000000000001,4.678,35.9339,35.9331,0.88,0.38,2.26,0.61,1.0237020279766489,0.17141007924950666,0.900857784619451,0.3890067706311266,2.3135665832272263,0.6244582370657558,23.248813101081055
600,GP15,34.0,-7.50002,-151.99999,15283,43419,145,34-145,15.80954259,,0.167367608,144.3,25.7766,166.6,0.005,4.688,36.3875,36.3739,0.68,0.39,2.82,0.66,1.0247714625598958,0.17151354843531133,0.6968445945407292,0.3996608703983594,2.889855524418906,0.6763491652895313,24.161647829151207
601,GP15,34.0,-7.50002,-151.99999,15281,43419,200,34-200,31.79092331,,0.202706045,200.2,19.051,144.5,0.001,4.705,35.6078,35.6423,2.15,0.82,9.27,0.0,1.026351833735102,0.20804772099494012,2.2066564425304693,0.8416085036627836,9.514281498724396,0.0,25.485966692043576
602,GP15,34.0,-7.50002,-151.99999,15279,43419,260,34-260,50.42956668,,,258.9,13.5039,72.6,0.001,4.708,34.965,34.9917,12.6,1.78,22.34,0.0,1.0274201976051998,,12.945494489825517,1.8288079517372555,22.952567214500164,0.0,26.275158730558132
603,GP15,34.0,-7.50002,-151.99999,15277,43419,320,34-320,78.51627514,,0.563413157,320.0,11.1887,23.4,0.001,4.708,34.8191,34.7874,25.21,2.37,32.33,0.0,1.0280410536978546,0.5792118555895148,25.916914963722917,2.4364572972639156,33.23656726605164,0.0,26.611748063803816
604,GP15,34.0,-7.50002,-151.99999,15275,43419,480,34-480,61.04365449,,1.3641070640000001,481.5,8.5053,71.7,0.001,4.71,34.6448,34.6677,30.88,2.37,34.21,0.0,1.029105571293873,1.4038101794037279,31.7787800415548,2.438980203966479,35.2057015939634,0.0,26.930114233734002
605,GP15,34.0,-7.50002,-151.99999,15273,43419,600,34-600,54.59106286,,2.5532015269999997,602.0,7.12,50.6,0.001,4.711,34.5828,34.5818,43.1,2.79,39.84,0.0,1.0298220035144263,2.6293431119112323,44.38532835147178,2.8732033898052496,41.02810862001475,0.0,27.086028324542667
606,GP15,34.0,-7.50002,-151.99999,15271,43419,800,34-800,51.07353254,,3.431696397,804.4,5.5392,71.4,0.001,4.712,34.5409,34.5452,60.59,2.86,40.46,0.0,1.0309400837526417,3.537873370936819,62.464659674572566,2.948488639532555,41.71183578863188,0.0,27.261021666892702
607,GP15,34.0,-7.50002,-151.99999,15269,43419,1000,34-1000,43.36507271,,4.253638656000001,1006.8,4.7515,88.6,0.001,4.7139999999999995,34.5412,34.5417,72.71,2.8,39.18,0.0,1.031970181009224,4.389628253780153,75.03455186118067,2.8895165068258275,40.4325916919414,0.0,27.355433661118013
608,GP15,35.0,-10.5,-152.00006000000002,15319,43419,2,35-2,0.0,0.0,0.14936476199999998,2.0,28.7375,193.8,0.005,4.641,35.8937,35.938,0.2,0.19,0.51,0.0,1.0228319202439413,0.15277504633323927,0.20456638404878827,0.19433806484634886,0.52164427932441,0.0,22.82328299878077
609,GP15,35.0,-10.5,-152.00006000000002,15343,43419,25,35-25,0.0,0.0,0.24368073699999998,23.1,28.7278,198.8,0.005,4.644,35.9083,35.8951,0.2,0.19,0.65,0.0,1.0229363198371078,0.24926987632197412,0.20458726396742155,0.19435790076905046,0.6649086078941201,0.0,22.839167685377674
